BBL,price,cap_rate,borough_cap_rate,Latitude,Longitude,BIN,deed_date,watchlist,Owner,Total_Units,Residential_Units,Buildings,Stories,Land_Market_Value,Total_Market_Value,Transitional_Assesed_Land_Value,"Transitional_Assessed_Total_Value,",Actual_Assesed_Land_Value,"Actual_Assessed_Total_Value,",5_Year_Exemption_Flags,Exempt_Total_Value
1002380040,22600000,0.02638,0.03329,40.71781,-73.99690799999998,1003114.0,2018-09-14,0.0,116 MOTT ST CORP,35.0,30.0,1.0,6.0,670000.0,2410000.0,276300.0,704700.0,301500.0,1084500.0,,0.0
1002770002,12000000,0.016030000000000003,0.03345,40.712142,-73.996259,1003329.0,2018-04-25,0.0,KUAN LEE LAI SI RLTYI,30.0,28.0,1.0,6.0,475000.0,579000.0,213750.0,341460.0,213750.0,260550.0,,0.0
1003100003,7100000,0.02758,0.03345,40.71605,-73.990415,1004021.0,2018-05-09,0.0,"LEE, JACKSON",18.0,16.0,1.0,5.0,335000.0,1710000.0,143100.0,443520.0,150750.0,769500.0,,0.0
1003790037,786751,0.6459600000000001,0.03329,40.724379,-73.975536,1004556.0,2018-08-07,1.0,RED MAN TAKES IT BACK,22.0,20.0,1.0,6.0,175000.0,3180000.0,78750.0,591390.0,78750.0,1431000.0,,0.0
1003790037,904764,0.56171,0.03329,40.724379,-73.975536,1004556.0,2018-08-07,1.0,RED MAN TAKES IT BACK,22.0,20.0,1.0,6.0,175000.0,3180000.0,78750.0,591390.0,78750.0,1431000.0,,0.0
1003790037,983439,0.51677,0.03329,40.724379,-73.975536,1004556.0,2018-08-07,1.0,RED MAN TAKES IT BACK,22.0,20.0,1.0,6.0,175000.0,3180000.0,78750.0,591390.0,78750.0,1431000.0,,0.0
1003790037,1258802,0.40373,0.03329,40.724379,-73.975536,1004556.0,2018-08-07,1.0,RED MAN TAKES IT BACK,22.0,20.0,1.0,6.0,175000.0,3180000.0,78750.0,591390.0,78750.0,1431000.0,,0.0
1004410020,28250000,0.03607,0.03329,40.730876,-73.9814,1077676.0,2018-08-14,1.0,"KREUTE, HARRIET",51.0,45.0,3.0,5.0,1610000.0,3480000.0,724500.0,1325700.0,724500.0,1566000.0,,0.0
1005510016,45000000,0.01841,0.03345,40.730883,-73.99759300000002,1000000.0,2018-06-21,0.0,27 LLC,28.0,27.0,1.0,7.0,1130000.0,3260000.0,508500.0,1301400.0,508500.0,1467000.0,,0.0
1006250056,15900000,0.03957,0.03329,40.737904,-74.004417,1078204.0,2018-09-28,1.0,MARUCCIA INC,20.0,19.0,3.0,5.0,1500000.0,2690000.0,675000.0,1023050.0,675000.0,1210500.0,,0.0
1007650001,83000000,0.03784,0.03329,40.740534,-74.001941,1081536.0,2018-09-28,1.0,102-116 EIGHTH AVENUE,225.0,206.0,8.0,5.0,3380000.0,10300000.0,1521000.0,4306500.0,1521000.0,4635000.0,,0.0
1007920020,41409879,0.02082,0.03345,40.739079,-73.996781,1014575.0,2018-04-05,0.0,125 W16 ST CP,44.0,43.0,1.0,6.0,1740000.0,3500000.0,783000.0,1608300.0,783000.0,1575000.0,,0.0
1008280001,363508320,0.05891,0.03345,40.74489000000001,-73.991342,1015632.0,2018-06-30,1.0,CHELSEA NEW YORK REAL,401.0,387.0,1.0,37.0,18400000.0,100000000.0,8280000.0,44091000.0,8280000.0,45000000.0,EEEE,15827245.0
1010550055,2643864,0.12502,0.03329,40.7618,-73.992719,1026468.0,2018-09-21,1.0,444 WEST 46TH STREET,20.0,20.0,1.0,5.0,269000.0,1280000.0,121050.0,493650.0,121050.0,576000.0,,0.0
1010640056,9900000,0.02358,0.03345,40.76721,-73.988087,1026804.0,2018-06-25,0.0,448 WEST 55TH STREET,20.0,20.0,1.0,5.0,171000.0,934000.0,76950.0,374850.0,76950.0,420300.0,,0.0
1011710062,416100000,0.05297,0.03329,40.77506500000001,-73.98863399999998,1085785.0,2018-09-13,1.0,ASN WEST LLC,506.0,503.0,1.0,33.0,15000000.0,106000000.0,6750000.0,44777000.0,6750000.0,47700000.0,EEEE,52047900.0
1012360033,7200000,0.03123,0.03329,40.789269,-73.973869,1033296.0,2018-08-14,0.0,CITY OF NEW YORK,19.0,18.0,1.0,5.0,361000.0,955000.0,162450.0,331920.0,162450.0,429750.0,,0.0
1012360034,8600000,0.01738,0.03329,40.789335,-73.973825,1033297.0,2018-08-14,0.0,CITY OF NEW YORK,19.0,18.0,1.0,5.0,361000.0,577000.0,162450.0,269820.0,162450.0,259650.0,,0.0
1012360035,8600000,0.01863,0.03329,40.789393,-73.973782,1033298.0,2018-08-14,0.0,CITY OF NEW YORK,19.0,18.0,1.0,5.0,360000.0,725000.0,162000.0,283770.0,162000.0,326250.0,,0.0
1012360036,8600000,0.02048,0.03329,40.789453,-73.973739,1033299.0,2018-08-14,0.0,CITY OF NEW YORK,16.0,13.0,1.0,5.0,368000.0,982000.0,165600.0,335790.0,165600.0,441900.0,,0.0
1012530045,30000000,0.025730000000000003,0.03345,40.79495900000001,-73.974614,1034185.0,2018-06-01,0.0,GREENSPAN ABRAHAM,24.0,24.0,1.0,7.0,1680000.0,3450000.0,756000.0,1499400.0,756000.0,1552500.0,,0.0
1013290035,25000000,0.03623,0.03329,40.759281,-73.967343,1038587.0,2018-08-06,1.0,HUGUEL CORP,60.0,60.0,1.0,5.0,866000.0,3260000.0,389700.0,1387800.0,389700.0,1467000.0,,0.0
1013290121,19500000,0.01926,0.03345,40.758518,-73.967434,1038588.0,2018-04-19,0.0,AINTREE REALTY INC,13.0,12.0,1.0,4.0,752000.0,1850000.0,338400.0,749700.0,338400.0,832500.0,,0.0
1014290001,8095334,0.05938,0.03345,40.771199,-73.959532,1044019.0,2018-06-28,1.0,EAST MANHATTAN HOLDIN,17.0,15.0,1.0,5.0,1500000.0,2300000.0,675000.0,981000.0,675000.0,1035000.0,,0.0
1015590047,14938625,0.01527,0.03345,40.772772,-73.95235699999998,1050354.0,2018-04-12,0.0,JIM JAY REST INC,11.0,9.0,1.0,4.0,335000.0,986000.0,150750.0,476730.0,150750.0,443700.0,,0.0
1016240021,25450000,0.01877,0.03345,40.785738,-73.9506,1051704.0,2018-05-31,0.0,AKIVAH J. WOLFSON LIM,40.0,40.0,1.0,5.0,865000.0,2520000.0,389250.0,1038600.0,389250.0,1134000.0,,0.0
1018720061,64500000,0.02274,0.03329,40.798239,-73.971019,1056493.0,2018-07-31,0.0,ZAUDERER REALTY ASSOC,69.0,69.0,1.0,12.0,1400000.0,7180000.0,630000.0,2747700.0,630000.0,3231000.0,,0.0
1018770035,6850000,0.04548,0.03329,40.800271,-73.965846,1056618.0,2018-07-25,1.0,PINNACLE AMSTERDAM L,14.0,13.0,1.0,5.0,275000.0,921000.0,123750.0,357480.0,123750.0,414450.0,,0.0
1018770036,6850000,0.05389,0.03329,40.80034000000001,-73.965795,1056619.0,2018-07-25,1.0,PINNACLE AMSTERDAM L,16.0,13.0,1.0,5.0,240000.0,1010000.0,108000.0,350550.0,108000.0,454500.0,,0.0
1019030062,5225000,0.02658,0.03345,40.804937,-73.951261,1057518.0,2018-05-17,0.0,CASHMERE REALTY CORP,20.0,20.0,1.0,5.0,40000.0,482000.0,18000.0,232380.0,18000.0,216900.0,,0.0
1019880086,7200000,0.02941,0.03345,40.819296,-73.95304300000002,1059785.0,2018-04-05,0.0,RISING DEVELOPMENT-52,20.0,20.0,1.0,5.0,72200.0,374000.0,32490.0,226260.0,32490.0,168300.0,,0.0
1019880101,7210000,0.01865,0.03345,40.819153,-73.952689,1059794.0,2018-05-03,0.0,505 W 135 ST RLTY CP,21.0,21.0,1.0,5.0,122000.0,647000.0,54900.0,263700.0,54900.0,291150.0,,0.0
1020230015,2400000,0.04993,0.03329,40.817115,-73.943955,1060207.0,2018-09-05,1.0,DOROTHY E BERRY,11.0,11.0,1.0,5.0,94900.0,598000.0,42705.0,124020.0,42705.0,269100.0,,0.0
1020710015,9200000,0.02972,0.03345,40.822342,-73.95180500000002,1061730.0,2018-05-14,0.0,51 HAMILTON PLCE RTYI,29.0,29.0,1.0,6.0,141000.0,1600000.0,63450.0,607590.0,63450.0,720000.0,,0.0
1020710061,26200000,0.017669999999999998,0.03345,40.822973,-73.952961,1061751.0,2018-06-26,0.0,556 WEST 140TH STREET,58.0,51.0,1.0,6.0,528000.0,2310000.0,237600.0,745200.0,237600.0,1039500.0,,0.0
1020720001,18450000,0.031580000000000004,0.03329,40.823231,-73.952433,1061758.0,2018-09-24,0.0,WINGATE HALL CO,42.0,36.0,1.0,6.0,632000.0,2100000.0,284400.0,925200.0,284400.0,945000.0,,0.0
1020720006,7425000,0.03086,0.03329,40.822896,-73.951859,1061759.0,2018-07-24,0.0,"561 BUILDING CO.,INC.",26.0,26.0,1.0,5.0,89200.0,1080000.0,40140.0,383940.0,40140.0,486000.0,,0.0
1020840062,6255000,0.02244,0.03345,40.831285,-73.94689100000002,1062252.0,2018-04-24,0.0,3694 BROADWAY HOLDING,24.0,24.0,1.0,6.0,66700.0,617000.0,30015.0,201510.0,30015.0,277650.0,,0.0
1020870097,18000000,0.04083,0.03329,40.822927,-73.953022,1062311.0,2018-08-06,1.0,600 REALTY HEIGHTS L,35.0,31.0,1.0,6.0,271000.0,1220000.0,121950.0,691200.0,121950.0,549000.0,,0.0
1021100070,4795000,0.029230000000000006,0.03345,40.836877,-73.938022,1062622.0,2018-04-17,0.0,WASHINGTON HEIGHTS AP,20.0,20.0,1.0,5.0,133000.0,628000.0,59850.0,284670.0,59850.0,282600.0,,0.0
1021110044,4790000,0.03595,0.03329,40.837991,-73.93826999999997,1062644.0,2018-09-26,1.0,2119 AMSTERDAM AVE. L,14.0,13.0,1.0,5.0,54400.0,672000.0,24480.0,247410.0,24480.0,302400.0,,0.0
1021110050,8500000,0.04221,0.03329,40.838219,-73.93810400000002,1062647.0,2018-08-07,1.0,R C REALTY CO,24.0,21.0,1.0,6.0,215000.0,1080000.0,96750.0,433710.0,96750.0,486000.0,,0.0
1021260048,4900000,0.02855,0.03329,40.840609,-73.936746,1063032.0,2018-07-11,0.0,"KISS, MATILDA",24.0,24.0,1.0,6.0,115000.0,547000.0,51750.0,236070.0,51750.0,246150.0,,0.0
1021320021,13650000,0.03186,0.03345,40.846377,-73.934048,1063183.0,2018-06-25,0.0,SAREX SETAI LLC,45.0,43.0,1.0,6.0,603000.0,1700000.0,271350.0,693000.0,271350.0,765000.0,,0.0
1021390517,19550000,0.030910000000000007,0.03345,40.84775,-73.940557,1063448.0,2018-06-19,0.0,L & L REALTY EQUITIES,43.0,43.0,1.0,6.0,465000.0,2400000.0,209250.0,762300.0,209250.0,1080000.0,,0.0
1021650065,6800000,0.02997,0.03329,40.850806,-73.932659,1063958.0,2018-09-27,0.0,LOMA RLTY CORP,25.0,22.0,1.0,6.0,330000.0,1190000.0,148500.0,466950.0,148500.0,535500.0,,0.0
1021730021,5125000,0.04263,0.03329,40.860861,-73.926735,1064151.0,2018-09-07,1.0,131 MANHATTAN LLC,24.0,24.0,1.0,5.0,110000.0,768000.0,49500.0,295400.0,49500.0,345600.0,,0.0
2022930056,8500000,0.02792,0.03665,40.815325,-73.9159,2000539.0,2018-05-10,0.0,HORIZON REALTY MANAG,20.0,16.0,1.0,5.0,62800.0,745000.0,28260.0,285930.0,28260.0,335250.0,,0.0
2023810045,3900000,0.04112,0.03665,40.822618,-73.912773,2001481.0,2018-05-10,1.0,830 ELTON LLC,21.0,21.0,1.0,5.0,44700.0,595000.0,20115.0,244670.0,20115.0,267750.0,,0.0
