BBL,TotalFeeAmount,NumberOfComplaints,ModeFeeTypeName,ModeFeeTypeCount,ModeLifeCycleName,ModeLifeCycleCount,MeanFeeIssueDate
1000530006,16900,7,PROJECT BLDG,2,Building,7,2018-03-05 10:17:08
1000787510,200,1,Complaint,1,Building,1,2018-07-30 00:00:00
1000920003,200,1,VIOLATION,1,Building,1,2016-11-28 00:00:00
1001400003,5200,26,VIOLATION,26,Building,26,2019-01-30 02:46:09
1001640013,400,2,Complaint,2,Building,2,2018-11-01 12:00:00
1001640026,600,3,VIOLATION,3,Building,3,2015-07-25 08:00:00
1001640028,400,2,VIOLATION,2,Building,2,2016-02-06 00:00:00
1001800005,600,3,VIOLATION,3,Building,3,2014-10-13 16:00:00
1001990003,200,1,Complaint,1,Building,1,2017-02-16 00:00:00
1001990005,600,3,Complaint,3,Building,3,2018-10-25 08:00:00
1002010032,1000,5,VIOLATION,3,Building,5,2017-06-04 09:36:00
1002010034,1800,9,VIOLATION,9,Building,9,2019-01-17 05:20:00
1002030010,3400,17,VIOLATION,17,Building,17,2018-12-02 11:17:38
1002050018,1400,7,VIOLATION,7,Building,7,2015-04-13 00:00:00
1002060017,400,2,VIOLATION,2,Building,2,2015-07-25 12:00:00
1002380023,200,1,Complaint,1,Building,1,2016-02-03 00:00:00
1002380037,200,1,VIOLATION,1,Building,1,2016-10-07 00:00:00
1002440040,600,3,VIOLATION,3,Building,3,2014-02-11 16:00:00
1002710043,200,1,Complaint,1,Building,1,2017-11-20 00:00:00
1002710061,9800,16,Route for Inspection,14,Building,16,2009-08-06 16:30:00
1002740013,20000,2,PROJECT BLDG,2,Building,2,2016-09-09 12:00:00
1002760036,3000,15,VIOLATION,14,Building,15,2018-05-12 17:36:00
1002760039,200,1,Complaint,1,Building,1,2017-12-24 00:00:00
1002770002,600,3,VIOLATION,3,Building,3,2017-09-26 08:00:00
1002770018,200,1,VIOLATION,1,Building,1,2015-07-08 00:00:00
1002770022,600,3,VIOLATION,3,Building,3,2018-11-26 08:00:00
1002800025,400,2,VIOLATION,2,Building,2,2018-10-07 12:00:00
1002810011,800,4,VIOLATION,4,Building,4,2018-11-13 06:00:00
1002810064,1000,5,VIOLATION,3,Building,5,2018-12-14 00:00:00
1002820028,200,1,Complaint,1,Building,1,2018-09-15 00:00:00
1002820053,800,4,VIOLATION,4,Building,4,2015-02-04 18:00:00
1002850020,600,3,Complaint,3,Building,3,2017-10-18 00:00:00
1002860016,1000,5,VIOLATION,5,Building,5,2013-02-21 09:36:00
1002860017,600,3,VIOLATION,3,Building,3,2015-08-09 08:00:00
1002860021,400,2,Complaint,2,Building,2,2018-02-25 12:00:00
1002920024,2600,13,VIOLATION,13,Building,13,2018-11-15 20:18:27
1002987501,200,1,VIOLATION,1,Building,1,2015-02-06 00:00:00
1003080022,200,1,Complaint,1,Building,1,2018-09-24 00:00:00
1003090008,800,4,Complaint,3,Building,4,2017-06-16 18:00:00
1003100022,200,1,VIOLATION,1,Building,1,2015-11-13 00:00:00
1003100024,5600,4,VIOLATION,3,Building,4,2015-08-23 12:00:00
1003410070,200,1,Complaint,1,Building,1,2016-10-18 00:00:00
1003430060,200,1,Complaint,1,Building,1,2018-02-26 00:00:00
1003440013,800,4,Complaint,4,Building,4,2018-04-25 12:00:00
1003450029,2600,13,Complaint,13,Building,13,2018-05-15 14:46:09
1003450048,800,4,Complaint,4,Building,4,2019-01-08 00:00:00
1003490030,200,1,Complaint,1,Building,1,2016-08-01 00:00:00
1003530060,200,1,Complaint,1,Building,1,2016-01-04 00:00:00
1003540022,2000,10,Complaint,10,Building,10,2017-11-15 00:00:00
1003550062,1200,6,VIOLATION,6,Building,6,2016-10-14 16:00:00
1003720022,12800,21,Complaint,13,Building,21,2017-09-13 19:25:42
1003720056,600,3,VIOLATION,2,Building,3,2018-03-11 00:00:00
1003750028,1200,6,Complaint,4,Building,6,2018-10-21 20:00:00
1003750062,1000,5,Complaint,5,Building,5,2017-05-05 14:24:00
1003760011,600,3,Complaint,3,Building,3,2016-05-19 16:00:00
1003790037,400,2,Complaint,2,Building,2,2017-01-11 00:00:00
1003820100,800,4,Complaint,4,Building,4,2018-07-31 00:00:00
1003857501,400,2,Complaint,2,Building,2,2018-05-16 12:00:00
1003860011,200,1,Complaint,1,Building,1,2016-04-28 00:00:00
1003860053,400,2,Complaint,2,Building,2,2017-04-14 00:00:00
1003870119,800,4,VIOLATION,4,Building,4,2017-03-28 12:00:00
1003870124,200,1,Complaint,1,Building,1,2019-01-07 00:00:00
1003870141,600,3,Complaint,3,Building,3,2019-01-25 08:00:00
1003890049,400,2,Complaint,2,Building,2,2016-03-21 00:00:00
1003910047,200,1,VIOLATION,1,Building,1,2012-11-28 00:00:00
1003910055,600,3,Complaint,3,Building,3,2017-10-23 00:00:00
1003920037,400,2,Complaint,2,Building,2,2018-07-22 00:00:00
1003970006,200,1,Complaint,1,Building,1,2016-11-17 00:00:00
1003980043,200,1,Complaint,1,Building,1,2017-03-29 00:00:00
